case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis
baseline,"(50, 150, 2, 0.1, -2, -0.1)",373.16,0.527807638,193.04,0.51847988,0.000613997,0.018867504,-0.088578987,0.000624507,0.095932294,0.162027917,6.273757385
baseline,"(50, 150, 2, 0.2, -2, -0.2)",357.18,0.505205092,184.76,0.518125437,0.000606551,0.018869933,-0.087935332,0.000649336,0.094336333,0.140931321,6.218519296
baseline,"(50, 150, 2, 0.3, -2, -0.3)",343.76,0.486223479,177.7,0.517919934,0.000568899,0.018837049,-0.087844746,0.000640398,0.092495519,0.12582807,6.353184613
baseline,"(50, 150, 2, 0.4, -2, -0.4)",329.48,0.46602546,170.22,0.517860398,0.000556688,0.018885344,-0.087796174,0.000613928,0.092000896,0.129626901,6.394280898
baseline,"(50, 150, 2, 0.5, -2, -0.5)",313.8,0.443847242,162.26,0.5182019,0.000552264,0.018993272,-0.087796174,0.000668688,0.091417013,0.112167332,6.397325354
baseline,"(50, 200, 2, 0, -2, 0)",351.9,0.579736409,181.62,0.517791251,0.000835549,0.0195198,-0.088097948,0.000635462,0.105019618,0.409581985,7.795333206
baseline,"(50, 200, 2, 0.1, -2, -0.1)",343.08,0.565205931,176.98,0.517507789,0.000815719,0.019586741,-0.087991807,0.000626003,0.104990014,0.410798666,7.867751451
baseline,"(50, 200, 2, 0.2, -2, -0.2)",328.38,0.540988468,169.82,0.518967724,0.000850347,0.019437269,-0.086105363,0.000662129,0.099463826,0.343886178,6.806253202
baseline,"(50, 200, 2, 0.3, -2, -0.3)",315.28,0.519406919,163.4,0.520169513,0.000861573,0.019236398,-0.082740458,0.000742379,0.09583321,0.35593399,5.729208955
baseline,"(50, 200, 2, 0.4, -2, -0.4)",303.18,0.499472817,156.76,0.519177705,0.00079606,0.019226567,-0.082740458,0.000701861,0.094862991,0.335457757,5.750617437
baseline,"(50, 200, 2, 0.5, -2, -0.5)",291.88,0.480856672,150.8,0.518362484,0.000798703,0.01923041,-0.081335417,0.000698976,0.094862991,0.375000978,5.905803568
baseline,"(60, 50, 2, 0, -2, 0)",432.1166667,0.476424109,224.5333333,0.520706007,0.001050426,0.019957984,-0.096127612,0.00074402,0.123193071,0.579206254,9.015098103
baseline,"(60, 50, 2, 0.1, -2, -0.1)",417.8333333,0.460676222,217.1,0.520616858,0.001036785,0.01998731,-0.096034253,0.00069794,0.121205721,0.564570292,8.899979024
baseline,"(60, 50, 2, 0.2, -2, -0.2)",400.25,0.441289967,207.8833333,0.520474588,0.001052289,0.020090612,-0.09541779,0.000718333,0.121205721,0.5820956,9.080153536
baseline,"(60, 50, 2, 0.3, -2, -0.3)",381.2166667,0.420305035,197.75,0.520072567,0.001062926,0.020168693,-0.095084635,0.00069857,0.120573161,0.579614768,9.101561706
baseline,"(60, 50, 2, 0.4, -2, -0.4)",362.45,0.399614112,188.0166667,0.520140663,0.001073821,0.020201354,-0.095376694,0.000689352,0.118600381,0.557110836,9.010422556
baseline,"(60, 50, 2, 0.5, -2, -0.5)",342.7833333,0.377930908,178.2,0.521435942,0.001129795,0.020224565,-0.09302009,0.000758753,0.115516014,0.572866414,8.893885682
baseline,"(60, 150, 2, 0, -2, 0)",389.9166667,0.551508722,201.6333333,0.517501603,0.000609118,0.019366552,-0.094796426,0.000587211,0.104229117,0.208073396,7.497341514
baseline,"(60, 150, 2, 0.1, -2, -0.1)",373.8833333,0.52883074,193.7333333,0.518943883,0.000677482,0.019453513,-0.094369751,0.000642784,0.103726569,0.209298801,7.55430577
baseline,"(60, 150, 2, 0.2, -2, -0.2)",357.6,0.505799151,185.25,0.518583394,0.000672065,0.019447265,-0.093833371,0.00066405,0.101927748,0.179192284,7.546742411
baseline,"(60, 150, 2, 0.3, -2, -0.3)",343.3666667,0.485667138,177.7833333,0.518511046,0.000641326,0.019417286,-0.093757883,0.000659352,0.100284325,0.159244808,7.696580893
baseline,"(60, 150, 2, 0.4, -2, -0.4)",329.1166667,0.465511551,170.3166667,0.51844411,0.000632909,0.019472527,-0.093717406,0.000637622,0.09987214,0.160932597,7.725121966
baseline,"(60, 150, 2, 0.5, -2, -0.5)",313.3333333,0.443187176,162.45,0.519348807,0.000650123,0.019569213,-0.093601167,0.000695481,0.09938557,0.148071419,7.744698276
baseline,"(60, 200, 2, 0, -2, 0)",349.2666667,0.575398133,180.3666667,0.518047665,0.000859535,0.020188639,-0.094705245,0.0006381,0.1117452,0.428668035,8.904491553
baseline,"(60, 200, 2, 0.1, -2, -0.1)",338.3166667,0.557358594,174.75,0.518180007,0.000849441,0.020189981,-0.092942847,0.000638862,0.11172053,0.43834045,8.836075423
baseline,"(60, 200, 2, 0.2, -2, -0.2)",325.1333333,0.535639758,168.2,0.519146987,0.000866136,0.020067966,-0.09137081,0.000660315,0.107115373,0.38200013,7.942026996
baseline,"(60, 200, 2, 0.3, -2, -0.3)",312.2833333,0.514470071,161.85,0.520182481,0.000876736,0.019911701,-0.088566722,0.000733148,0.10408986,0.390606189,7.045946468
baseline,"(60, 200, 2, 0.4, -2, -0.4)",299.4166667,0.493272927,154.9,0.519471599,0.000832021,0.019889909,-0.088566722,0.000703825,0.102705751,0.362743742,7.180123672
baseline,"(60, 200, 2, 0.5, -2, -0.5)",287.3333333,0.473366282,148.55,0.518749626,0.00084244,0.019914024,-0.087395855,0.000697333,0.10257979,0.395235971,7.286846053
baseline,"(70, 50, 2, 0, -2, 0)",434.0714286,0.478579304,225.0285714,0.519538671,0.001036616,0.020005167,-0.096143749,0.000689999,0.124592684,0.589057387,9.048526169
baseline,"(70, 50, 2, 0.1, -2, -0.1)",419.7285714,0.46276579,217.5142857,0.519331225,0.001020337,0.02004544,-0.096063727,0.000647999,0.122889242,0.574024739,8.945626355
baseline,"(70, 50, 2, 0.2, -2, -0.2)",401.6,0.44277839,208.0857143,0.519327336,0.001034996,0.020167279,-0.09553533,0.000669152,0.122889242,0.588975225,9.098155175
baseline,"(70, 50, 2, 0.3, -2, -0.3)",382.6571429,0.421893212,198.1285714,0.519146585,0.001053861,0.02023769,-0.095249769,0.000655282,0.122025298,0.584200601,9.096720923
baseline,"(70, 50, 2, 0.4, -2, -0.4)",363.9285714,0.40124429,188.3571429,0.519007571,0.001068599,0.020254699,-0.093809388,0.000641546,0.120334344,0.585612209,8.898211386
baseline,"(70, 50, 2, 0.5, -2, -0.5)",343.9571429,0.379225075,178.3857143,0.520280415,0.001108377,0.020287479,-0.091789442,0.000710032,0.117690601,0.603767217,8.86137201
